"id","hsncode","name","gst_tax_ids:id"
"08011000","08011000","Coconuts","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"08030000","08030000","Bananas including plantains, fresh or dried","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"08041000","08041000","Dates - fresh","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"08041020","08041020","Soft / wet dates","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"08041030","08041030","Hard dates (dry dates)","GSTO12,GSTI12,IGSTO12,IGSTI12,UGSTO12,UGSTI12"
"08042000","08042000","Figs","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"08042090","08042090","Dried Figs","GSTO12,GSTI12,IGSTO12,IGSTI12,UGSTO12,UGSTI12"
"08133000","08133000","Apples","GSTO12,GSTI12,IGSTO12,IGSTI12,UGSTO12,UGSTI12"
"09010000","09010000","Coffee beans - not roasted","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"09011100","09011100","Coffee (not roasted, not decaffeinated)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09011200","09011200","Coffee (not roasted, decaffeinated)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09012100","09012100","Coffee (roasted, not decaffeinated)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09012200","09012200","Coffee (roasted, decaffeinated)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09020000","09020000","Tea, whether or not flavoured, other than unporcessed green leaves of tea","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09021000","09021000","Green tea (not fermented) in immediate packings of a content not exceeding 3 (661 lb)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09022000","09022000","Other green tea (not fermented)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
